              T              E              M            C_V            chi
              2     -1.7348568     0.84231416      3.2154973      193.33661
           2.05     -1.6858946     0.69985287       4.165077       541.6806
            2.1     -1.6430785     0.72211799      3.8774894      373.86681
           2.15     -1.6019427     0.79569036      2.5994962      97.191795
            2.2     -1.5393793     0.73863598      2.6310558      103.28134
           2.25     -1.4601935     0.65042724      2.5612475      89.234331
            2.3     -1.3490858     0.34561966      2.1093204      137.89598
           2.35      -1.265209     0.16071947      1.3394468       49.89301
            2.4     -1.2043854      0.1071076      1.0918921         24.989
           2.45     -1.1514528     0.07794222     0.93471486      13.453278
            2.5     -1.1059373    0.065895326      0.8334701      9.9341856
