              T              E              M            C_V            chi
              2     -1.7333149     0.82782853      2.6735935      173.04232
           2.05     -1.7007357     0.85824992      1.9275611      67.542826
            2.1      -1.655303     0.83118553      2.0797633      67.797254
           2.15     -1.6033153     0.80618278      2.0805684      47.711857
            2.2     -1.5381082     0.73653642      2.4800328       81.31158
           2.25     -1.4603006      0.6641879      2.2130994      39.579842
            2.3     -1.3536839     0.40649686      2.1394436      99.297788
           2.35     -1.2664351     0.19273198      1.4163828      51.360511
            2.4     -1.2043082     0.12137862      1.0772986       20.90865
           2.45     -1.1521755    0.097851394     0.93355906      13.866406
            2.5     -1.1063673    0.079922603     0.84576249       9.158863
