              T              E              M            C_V            chi
              2     -1.7442461     0.90729251     0.86554928      2.5290424
           2.05     -1.7052715     0.88908101     0.94650719      2.0573819
            2.1     -1.6599322     0.86213635      1.0954343      3.9113797
           2.15     -1.6080154     0.82796567      1.3166883      5.6373448
            2.2     -1.5467449      0.7830596      1.4578407      6.7407676
           2.25     -1.4658564     0.69040449       1.866539      14.914182
            2.3     -1.3627883     0.50454989      2.0050617      31.331971
           2.35     -1.2760804     0.36243057      1.5548685      27.392173
            2.4     -1.2036956     0.23445015      1.1737532      17.531708
           2.45     -1.1530321     0.19928445     0.99872567      12.901963
            2.5     -1.1062761     0.16057212     0.86225352      8.7153384
